file_name,text
0000.npy,An armchair in the shape of an avocado
0001.npy,A Pikachu shaped hat
0002.npy,An illustration of a baby daikon radish in a tutu walking a dog
0003.npy,A hedgehog using a calculator
0004.npy,A volcano erupting next to the golden gate bridge
0005.npy,Painting of an alien by Claude Monet
0006.npy,View of Saturn from space
0007.npy,Illustration of an astronaut in a space suit playing guitar
0008.npy,The Eiffel tower made of French fries
0009.npy,Underwater cathedral
0010.npy,A portrait of a nightmare creature
0011.npy,A dog is holding a gun
0012.npy,A rat holding a red lightsaber in a white background
0013.npy,A pink elephant on a beach
0014.npy,A small blue book sitting on a large red book.
0015.npy,A red cube on top of a blue cube
0016.npy,A man with an apple instead of a head
0017.npy,A sign that says 'Hello World'.
0018.npy,A storefront with 'Text to Image' written on it.
0019.npy,Lego Arnold Schwarzenegger.
0020.npy,A photo of a confused grizzly bear in calculus class.
0021.npy,A zebra to the right of a fire hydrant.
0022.npy,A train on top of a surfboard.
0023.npy,A cross-section view of a brain.
0024.npy,Five dogs on the street.
0025.npy,Rainbow coloured penguin.
0026.npy,A shark in the desert.
0027.npy,An elephant under the sea.
0028.npy,A red colored car.
0029.npy,A laptop on top of a teddy bear.
0030.npy,An oil painting portrait of the regal Burger King posing with a Whopper.
0031.npy,Photo of a mega Lego space station inside a kid's bedroom.
0032.npy,A magnifying glass over a page of a 1950s batman comic.
0033.npy,Darth Vader playing with raccoon in Mars during sunset.
0034.npy,Watercolor painting of a field of sunflowers
0035.npy,Pencil sketch of a woman's face.
0036.npy,An old woman buying vegetables in the market. Ukiyo-e
0037.npy,The international space station in the style of Pablo Picasso
0038.npy,Drawing of man fighting a robot. Anime style.
0039.npy,A still of SpongeBob in the movie Toy Story.
0040.npy,Abraham Lincoln in the GoldenEye 007 video game for Nintendo64 released in 1997.
0041.npy,Barack Obama as the final boss of the 1993 video game Doom
0042.npy,An 8-bit pixel art fan fiction version of the video game Halo for XBox
0043.npy,A still of a group of wild animals including giraffes and lions in the movie The Matrix from 1999
0044.npy,a fluffy owl with a knitted hat holding a wooden board with “MLR” written on it
0045.npy,batman and Joker making sushi together
0046.npy,a squirrel wearing a crown on stage
0047.npy,an oil painting of Border Collie
0048.npy,an oil painting of rain at a traditional Chinese town
0049.npy,a broken boat in a peacel lake
0050.npy,a lipstick put in front of pumpkins
0051.npy,"a frog drinking coffee , fancy digital Art"
0052.npy,a lonely dog watching sunset
0053.npy,a painting of a royal girl in a classic castle
0054.npy,a realistic photo of a castle
0055.npy,"origami style, paper art, a fat cat drives UFO"
0056.npy,a teddy bear wearing blue ribbon taking selfie in a small boat in the center of a lake
0057.npy,"paper art, paper cut style, cute bear"
0058.npy,"crowded subway, neon ambiance, abstract black oil, gear mecha, detailed acrylic, photorealistic"
0059.npy,a groundhog wearing a straw hat stands on top of the table
0060.npy,an experienced chief making Frech soup in the style of golden light
0061.npy,"a blue jay stops on the top of a helmet of Japanese samurai, background with sakura tree"
0062.npy,"a Stormtrooper Matryoshka doll, super details, extreme realistic, 8k"
0063.npy,"Astronaut in a jungle, cold color palette, muted colors, detailed, 8k"
0064.npy,Cute chonky cat looking angry at you while laying on your laptop
0065.npy,"A Pikachu with an angry expression and red eyes, with lightning around it, hyper realistic style."
0066.npy,"Half human, half robot, repaired human, human flesh warrior, mech display, man in mech, cyberpunk."
0067.npy,"Photography closeup portrait of an adorable rusty broken­down steampunk robot covered in budding vegetation, surrounded by tall grass, misty futuristic sci­fi forest environment."
0068.npy,"A cute little matte low poly isometric Zelda Breath of the wild forest island, waterfalls, soft shadows, trending on Artstation, 3d render, monument valley, fez video game."
0069.npy,"Milkyway in a glass bottle, 4k, unreal engine, octane render"
0070.npy,"A wizard by Q Hayashida in the style of Dorohedoro for Elden Ring, with biggest most intricate sword, on sunlit battlefield, breath of the wild, striking illustration."
0071.npy,"Chinese illustration, oriental landscape painting, above super wide angle, magical, romantic, detailed, colorful, multi-dimensional paper kirigami craft."
0072.npy,"A cute little matte low poly isometric cherry blossom forest island, waterfalls, lighting, soft shadows, trending on Artstation, 3d render, monument valley, fez video game."
0073.npy,"A shanty version of Tokyo, new rustic style, bold colors with all colors palette, video game, genshin, tribe, fantasy, overwatch."
0074.npy,"Cartoon characters, mini characters, hand-made, illustrations, robot kids, color expressions, boy, short brown hair, curly hair, blue eyes, technological age, cyberpunk, big eyes, cute, mini, detailed light and shadow, high detail."
0075.npy,"Papillon dog puppy in style of sumi ink painting, fantasy art, enigmatic, mysterious."
0076.npy,"Pirate ship trapped in a cosmic maelstrom nebula, rendered in cosmic beach whirlpool engine, volumetric lighting, spectacular, ambient lights, light pollution, cinematic atmosphere, art nouveau style, illustration art artwork by SenseiJaye, intricate detail."
0077.npy,"portrait photo of a asia old warrior chief, tribal panther make up, blue on red, side profile, looking away, serious eyes, 50mm portrait photography, hard rim lighting photography–beta"
0078.npy,"A cozy gingerbread house nestled in a dusting of powdered sugar snow, adorned with vibrant candy canes and shimmering gumdrops"
0079.npy,"An old-world galleon navigating through turbulent ocean waves under a stormy sky, lit by flashes of lightning"
